PROBLEMA/RESOLUÇÃO,Pergunta,Resposta
Pm afonso bezerra – Josuel – por onde enviar a ata do registro de preço 300886.        Foi identificado que os usuários já tinham enviado a informação da homologação e q não era mais necessário enviar informação sobre a Ata de Registro de Preços., Pm afonso bezerra – Josuel – por onde enviar a ata do registro de preço 300886 ., Foi identificado que os usuários já tinham enviado a informação da homologação e q não era mais necessário enviar informação sobre a Ata de Registro de Preços .
"16/11- A mais ou menos uma semana atras eu tinha começado a adicionar o resultado dá Chamada Pública 002/2021 especificamente os participantes, como dentro do sistema que usamos não dá a opção de exportar os participantes, estava colocando manualmente. Já tinha colocado salve engano 84 itens e tinha salvo, só que quando fui abrir o arquivo para continuar adicionando tinha desaparecido todos. Estou novamente colocando, mas gostaria de saber se teria alguma possibilidade de recuperar o arquivo que já tinha enviado, tendo em vista que é um processo que contém muitos itens. O Número do Recibo gerado 304287.                ao que parece, após a inserção dos itens e vencedores, faltou realizar ENVIO da informação ao TCE, o que acaba gerando a perda das informações inseridas. A fim de evitar esse tipo de problema e a geração de retrabalho, é possível utilizar uma planilha na qual podem ser inseridos todos os itens de forma manual, e após incluída todas informações nas planilha, a mesma deverá ser carregada na página para conclusão da inserção dos itens e vencedores da licitação . é possível acessá-la no link conforme imagens a seguir e seguir o modelo de preenchimento."," 16/11- A mais ou menos uma semana atras eu tinha começado a adicionar o resultado dá Chamada Pública 002/2021 especificamente os participantes , como dentro do sistema que usamos não dá a opção de exportar os participantes , estava colocando manualmente . Já tinha colocado salve engano 84 itens e tinha salvo , só que quando fui abrir o arquivo para continuar adicionando tinha desaparecido todos . Estou novamente colocando , mas gostaria de saber se teria alguma possibilidade de recuperar o arquivo que já tinha enviado , tendo em vista que é um processo que contém muitos itens . O Número do Recibo gerado 304287 ."," ao que parece , após a inserção dos itens e vencedores , faltou realizar ENVIO da informação ao TCE , o que acaba gerando a perda das informações inseridas . A fim de evitar esse tipo de problema e a geração de retrabalho , é possível utilizar uma planilha na qual podem ser inseridos todos os itens de forma manual , e após incluída todas informações nas planilha , a mesma deverá ser carregada na página para conclusão da inserção dos itens e vencedores da licitação . é possível acessá-la no link conforme imagens a seguir e seguir o modelo de preenchimento ."
"Pm tibau - ESTOU COM DIFICULDADES DE FAZER O ENVIO FINAL DESSE PROCESSO PARA O TCE, ESTÁ PEDINDO UNS ARQUIVOS QUE JÁ ESTÃO ANEXADOS NO SISTEMA.ORGÃO: PREFEITURA MUNICIPAL DE TIBAU NUMERO DO PROCESSO:  717002/2021 MEU CONTATO: 84 9 9148-6222                    Prezado, identificamos que a demanda foi resolvida, desta forma iremos fechar o chamado referente a este caso."," Pm tirar - ESTOU COM DIFICULDADES DE FAZER O ENVIO FINAL DESSE PROCESSO PARA O TCE , ESTÁ PEDINDO UNS ARQUIVOS QUE JÁ ESTÃO ANEXADOS NO SISTEMA.ORGÃO : PREFEITURA MUNICIPAL DE tirar NUMERO DO PROCESSO : 717002/2021 MEU CONTATO : 84 9 9148-6222"," Prezado , identificamos que a demanda foi resolvida , desta forma iremos fechar o chamado referente a este caso ."
Cm ielmo marinho – anexo 38 - editando uma planilha do tce e está tendo dificuldades.            Após explicações o usuário conseguiu utilizar a planilha sem maiores problemas., Cm elmo marinho – anexo 38 - editando uma planilha do tce e está tendo dificuldades ., Após explicações o usuário conseguiu utilizar a planilha sem maiores problemas .
"PM assu - Foi realizado um processo de despesa de nº 13943-2021, cujo objetivo é a contratação de empresa para fornecimento de mobília escolar e o procedimento licitatório se daria inicialmente na modalidade pregão eletrônico.Ocorre que, embora o processo tenha seguido os procedimentos legais, surgiu a possibilidade de se realizar Adesão a Ata de Registro de Preço de um consórcio intermunicipal, o que foi realizado, consoante infere-se do documento de cancelamento de pregão eletrônico juntado ao processo supramencionado. Feitos tais esclarecimentos, e levando-se em consideração a necessidade de dar transparência à nova modalidade, tentou-se realizar o cadastro no sistema do Tribunal de Contas do Estado, entretanto, não é possível alterar a modalidade do procedimento licitatório, que consta como Licitação Pública e deveria constar como SRP – Adesão a ARP (CARONA).Dessa forma, solicito que seja viabilizada a alteração ou que sejam prestados os esclarecimentos necessários para que seja possível registrar a Adesão da Ata e o Contrato.                    Uma vez realizado o cadastro de um Tipo de Procedimento Licitatório, não é possível mudá-lo se não através de exclusão, desta forma, é necessário que se faça uso de um outro número de procedimento licitatório para que seja possível cadastrá-lo no sistema."," PM assu - Foi realizado um processo de despesa de nº 13943-2021 , cujo objetivo é a contratação de empresa para fornecimento de mobília escolar e o procedimento licitatório se daria inicialmente na modalidade pregão eletrônico.Ocorre que , embora o processo tenha seguido os procedimentos legais , surgiu a possibilidade de se realizar Adesão a Ata de Registro de Preço de um consórcio intermunicipal , o que foi realizado , consoante infere-se do documento de cancelamento de pregão eletrônico juntado ao processo supramencionado . Feitos tais esclarecimentos , e levando-se em consideração a necessidade de dar transparência à nova modalidade , tentou-se realizar o cadastro no sistema do Tribunal de Contas do Estado , entretanto , não é possível alterar a modalidade do procedimento licitatório , que consta como Licitação Pública e deveria constar como SRP – Adesão a ARP ( CARONA ) .Dessa forma , solicito que seja viabilizada a alteração ou que sejam prestados os esclarecimentos necessários para que seja possível registrar a Adesão da Ata e o Contrato ."," Uma vez realizado o cadastro de um Tipo de Procedimento Licitatório , não é possível mudá-lo se não através de exclusão , desta forma , é necessário que se faça uso de um outro número de procedimento licitatório para que seja possível cadastrá-lo no sistema ."
"27/01-Sesap - Boa tarde, Solicito suporte técnico para a emissão do recibo referente ao processo 00610256 000307 / 2021 / 72 .           favor explicar melhor quando ocorre o erro informado.se possível inserir as demais informações ou prints contendo dados do que foi digitado nos campos para que possamos identificar o que possa ter acontecido."," 27/01-Sesap - Boa tarde , Solicito suporte técnico para a emissão do recibo referente ao processo 00610256 000307 / 2021 / 72 .", favor explicar melhor quando ocorre o erro informados possível inserir as demais informações ou points contendo dados do que foi digitado nos campos para que possamos identificar o que possa ter acontecido .
"Ielmo marinho – Zacarias – anexo 38 – usuário relata não estar conseguindo inserir um determinado item , aparece uma mensagem informando que o valor inserido não é uma quantidade.              Após conversa identificamos que o usuário está inserindo a quantidade com pontos e virgula e isso não é permitido. Após conversa ele conseguiu inserir com sucesso."," elmo marinho – Zacarias – anexo 38 – usuário relata não estar conseguindo inserir um determinado item , aparece uma mensagem informando que o valor inserido não é uma quantidade .", Após conversa identificamos que o usuário está inserindo a quantidade com pontos e virgula e isso não é permitido . Após conversa ele conseguiu inserir com sucesso .
"22/03 - PGJ – SARA- gestão de contratos – dispensa de um processo de aquisição de token, foi feito o empenho, a empresa se negou a fornecer o serviço devido o tempo. A proposta foi válida por apenas 30 dias. Fez nova pesquisa e uma outra empresa ganhou.            Foi solicitado a usuária que enviasse email explicando toda a situação para que passássemos para o coordenador verificar uma solução para a situação."," 22/03 - PGJ – sarar gestão de contratos – dispensa de um processo de aquisição de tomei , foi feito o empenho , a empresa se negou a fornecer o serviço devido o tempo . A proposta foi válida por apenas 30 dias . Fez nova pesquisa e uma outra empresa ganhou .", Foi solicitado a usuária que enviasse email explicando toda a situação para que passássemos para o coordenador verificar uma solução para a situação .
PM touros – anexo 38 – pagamento indenizatório – licitação dispensada -           foi solicitado o envio de um email explicando melhor a situação e em qual artigo e incisos ele se baseia., PM touros – anexo 38 – pagamento indenizatório – licitação dispensada -, foi solicitado o envio de um email explicando melhor a situação e em qual artigo e incisos ele se baseia .
"PM são Gonçalo – usuária gostaria de informações do recibo de outro órgão. Ela informou que estavam aderindo a uma carona e gostaria de informar isso no programa próprio.           Informamos que, caso eles estejam aderindo a uma ata de registro de preços é necessário realizar o envio do anexo 38 pelo órgão deles também", PM são Gonçalo – usuária gostaria de informações do recibo de outro órgão . Ela informou que estavam aderindo a uma carona e gostaria de informar isso no programa próprio .," Informamos que , caso eles estejam aderindo a uma ata de registro de preços é necessário realizar o envio do anexo 38 pelo órgão deles também"
Lissandra – pm assu – A38 – chamada pública – usuária relata que não está conseguindo inserir informações sobre uma chamada pública na qual ela terá de cadastrar mais de 50 ganhadores             foi informado a mesma que é possível ela separar o pessoal por item lote atendendo o limite de no maximo 5 ganhadores por item e adicionando os demais em outros itens., Lissandra – pm assu – a – chamada pública – usuária relata que não está conseguindo inserir informações sobre uma chamada pública na qual ela terá de cadastrar mais de 50 ganhadores, foi informado a mesma que é possível ela separar o pessoal por item lote atendendo o limite de no maximo 5 ganhadores por item e adicionando os demais em outros itens .
"Sou membro da Unidade de Controle Interno da Polícia Civil do RN - PCRN e venho solicitar esclarecimento sobre qual anexo utilizar na seguinte situação: considerando que a PCRN é órgão integrante de alguns Processos Licitatórios realizados pela Secretaria de Estado de Administração - SEAD, qual anexo utilizar na primeira contratação, o anexo 13 ou o anexo 38?

R: Informamos que o Anexo 38 é referente a envio de Demonstrativo dos Procedimentos Licitatórios e das Adesões a SRP e o Anexo 13 é Demonstrativo de Contratos Administrativos e de Aditamentos Celebrados. Dessa forma, o Anexo 38 é para registro de licitações e o Anexo 13 de contratos.
"," Sou membro da Unidade de Controle Interno da Polícia Civil do RN - para e venho solicitar esclarecimento sobre qual anexo utilizar na seguinte situação : considerando que a para é órgão integrante de alguns Processos Licitatórios realizados pela Secretaria de Estado de Administração - SEAD , qual anexo utilizar na primeira contratação , o anexo 13 ou o anexo 38 ?"," Informamos que o Anexo 38 é referente a envio de Demonstrativo dos Procedimentos Licitatórios e das Adesões a SRP e o Anexo 13 é Demonstrativo de Contratos Administrativos e de Aditamentos Celebrados . Dessa forma , o Anexo 38 é para registro de licitações e o Anexo 13 de contratos ."
PM pedra preta – anexo 38 – erro ao finalizar o envio de uma informação. Apareceu o erro de parâmetro INDEX.           Foi informado ao usuário que o mesmo deveria reduzir o texto inserido na parte de objeto e com o nome do vencedor., PM pedra preta – anexo 38 – erro ao finalizar o envio de uma informação . Apareceu o erro de parâmetro INDEX ., Foi informado ao usuário que o mesmo deveria reduzir o texto inserido na parte de objeto e com o nome do vencedor .
" O Instituto de Pesos e Medidas/IPEM, criou sua Unidade de Controle Interno - UCI conforme DOE do dia 17 do mês em curso, gostaríamos que essa Corte de Contas nos informe quais as providências cabíveis para seja retirada das dependências deste Órgão com esse Egrégio Tribunal contas.

R:Conforme informado através de contato telefônico, para essa pendência ser retirada do sistema, deverá ser preenchido as informações necessárias através do Anexo 40 disponibilizados no Portal do Gestor.
"," O Instituto de Pesos e Medidas/IPEM , criou sua Unidade de Controle Interno - uni conforme DOE do dia 17 do mês em curso , gostaríamos que essa Corte de Contas nos informe quais as providências cabíveis para seja retirada das dependências deste Órgão com esse Egrégio Tribunal contas ."," R : Conforme informado através de contato telefônico , para essa pendência ser retirada do sistema , deverá ser preenchido as informações necessárias através do Anexo 40 disponibilizados no Portal do Gestor ."
"O Instituto de Prev. de Extremoz entrou em contato informando que existe pendência ao emitir a certidão de adimplência do órgão, referente ao Anexo 40 - onde não foi criado a Unidade de Controle Interno, a mesma é utilizada termo de cooperação com a prefeitura. Porém, o Inst de Riachuelo, tem a mesma informação - UCCI não criada e a pendência não é exigida.
 

R: A certidão de adimplência estava verificando tanto no sistema antigo quanto no sistema novo, após a correção o sistema está verificando apenas no sistema novo. (69126)."," O Instituto de Prev . de extremo entrou em contato informando que existe pendência ao emitir a certidão de adimplência do órgão , referente ao Anexo 40 - onde não foi criado a Unidade de Controle Interno , a mesma é utilizada termo de cooperação com a prefeitura . Porém , o ist de Riachuelo , tem a mesma informação - cai não criada e a pendência não é exigida ."," A certidão de adimplência estava verificando tanto no sistema antigo quanto no sistema novo , após a correção o sistema está verificando apenas no sistema novo . ( 69126 ) ."
Cm cruzeta – Israel – pendência sobre Unidade de Controle Interno como resolver ?              para resolver essa pendência basta preencher informações no anexo 40., Cm cruzada – Israel – pendência sobre Unidade de Controle Interno como resolver ?, para resolver essa pendência basta preencher informações no anexo 40 .
Cm ipueira – niedson – existe uma pendência de implantação da unidade de controle interno.               Foi informado ao usuário que essa informação deverá ser enviada no anexo 40., Cm queira – niedson – existe uma pendência de implantação da unidade de controle interno ., Foi informado ao usuário que essa informação deverá ser enviada no anexo 40 .
Gustavo – cm cruzeta – consta pendência da unidade de controle interno. Usuário já inseriu a documentação mas ainda não foi dada a baixa da pendência.          Julgamento sobre as 2 contas do executivo a ser feito e não sabe como proceder.          No primeiro caso foi informado ao usuário que uma resolução é permitida como sendo instrumento para criação de unidade de controle interno.  Na segunda duvida foi informado que é necessário que eles façam sessão para julgar as referidas contas e enviem o resultado ao tce., Gustavo – cm cruzada – consta pendência da unidade de controle interno . Usuário já inseriu a documentação mas ainda não foi dada a baixa da pendência ., No primeiro caso foi informado ao usuário que uma resolução é permitida como sendo instrumento para criação de unidade de controle interno . Na segunda duvida foi informado que é necessário que eles façam sessão para julgar as referidas contas e enviem o resultado ao tce .
"Prezados, bom dia.  Ao emitir a Certidão de Regularidade há alguns meses, verificamos que há uma pendência no item Unidade Central de Controle Interno não criada por Lei ou não implementada plenamente., levamos a questão aos Conselhos Fiscal e Deliberativo, que aprovaram a utilização temporária da controladoria municipal, meu questionamento é de qual o meio necessário de resposta para informação a este Tribunal de Contas. No aguardo de orientações, disponibilizo meu contato pessoal e anexo a ata e ofício da Controladoria. Grata, Clara Késia Cândido                      Para órgãos que se utilizam da estrutura da Prefeitura para o quesito de Controle interno é necessário efetuar o preenchimento do Anexo 40 conforme informações a seguir:Acesse o Portal do Gestor, acesse o Anexo 40, e preencha o anexo conforme imagens a seguir No campo , JUSTIFICATIVA  deverá constar a informação do porque do uso da estrutura da Prefeitura para Controle InternoNos campos de INSTRUMENTO NORMATIVO e  CORPO FUNCIONAL, deverá constar as informações do Controle Interno utilizado."," Prezados , bom dia . Ao emitir a Certidão de Regularidade há alguns meses , verificamos que há uma pendência no item Unidade Central de Controle Interno não criada por Lei ou não implementada plenamente. , levamos a questão aos Conselhos Fiscal e Deliberativo , que aprovaram a utilização temporária da controladoria municipal , meu questionamento é de qual o meio necessário de resposta para informação a este Tribunal de Contas . No aguardo de orientações , disponibilizou meu contato pessoal e anexo a ata e ofício da Controladoria . Grata , Clara média Cândido"," Para órgãos que se utilizam da estrutura da Prefeitura para o quesito de Controle interno é necessário efetuar o preenchimento do Anexo 40 conforme informações a seguir : Acesse o Portal do Gestor , acesse o Anexo 40 , e preencha o anexo conforme imagens a seguir No campo , JUSTIFICATIVA deverá constar a informação do porque do uso da estrutura da Prefeitura para Controle internos campos de INSTRUMENTO NORMATIVO e CORPO FUNCIONAL , deverá constar as informações do Controle Interno utilizado ."
"PM PASSAGEM - Dúvida existente sobre a pendencia existente do não envio do controle interno

Informado que essa pendencia é ref ao não preenchimento do Anexo 40", PM PASSAGEM - Dúvida existente sobre a pendencia existente do não envio do controle interno, Informado que essa pendencia é ref ao não preenchimento do Anexo 40
"INST PREV DO ESTADO -  pendência q informa que a unidade da UCI não ter sido criada .        foi identificado que o anexo 40 está constando como parcialmente implementada. Para sanar a pendencia, informamos que é necessária que ela conste como plenamente implementada.", ist PREV DO ESTADO - pendência q informa que a unidade da uni não ter sido criada .," foi identificado que o anexo 40 está constando como parcialmente implementada . Para sanar a pendencia , informamos que é necessária que ela conste como plenamente implementada ."
"Proc geral natal – aedra - Estamos tentando enviar a Prestação de Contas Anuais, no entanto, informa que não cadastramos o anexo 42.Só que na verdade está cadastrado o anexo 42 (conseguimos fazer a visualização na consulta), mas, qdo vou incluir os documentos na contas anuais, informa que não existe cadastro no anexo 42.                       necessário que seja incluído no Anexo 42 uma Pessoa com a função de TITULAR."," Proc geral natal – pedra - Estamos tentando enviar a Prestação de Contas Anuais , no entanto , informa que não cadastros o anexo 42.Só que na verdade está cadastrado o anexo 42 ( conseguimos fazer a visualização na consulta ) , mas , do vou incluir os documentos na contas anuais , informa que não existe cadastro no anexo 42 .", necessário que seja incluído no Anexo 42 uma Pessoa com a função de TITULAR .
"PM Umarizal - entrou em contato solicitando ajuda para preenchimento do Anexo 42. 
Ao analisar o anexo, verificamos que existem vários registros de uma mesma unidade e foi solicitamos a usuária que realizasse a organização nas informações e registros.", PM Umarizal - entrou em contato solicitando ajuda para preenchimento do Anexo 42 .," Ao analisar o anexo , verificamos que existem vários registros de uma mesma unidade e foi solicitamos a usuária que realizasse a organização nas informações e registros ."
"Instituto de Prev. Goianinha - encaminhou ofício com alteração de endereço
Solicitado que essa informação fosse enviada através do Anexo 42", Instituto de Prev . Goianinha - encaminhou ofício com alteração de endereço, Solicitado que essa informação fosse enviada através do Anexo 42
PM encanto – está tentando mudar o secretário e não sabe como fazer? Anexo 42.               Foram passadas as orientações para a usuária realizar a modificação do usuário gerenciador., PM encanto – está tentando mudar o secretário e não sabe como fazer ? Anexo 42 ., Foram passadas as orientações para a usuária realizar a modificação do usuário gerenciador .
16/11- Marcos – pm santa cruz – ao tentar cadastrar o novo ordenador de despesa e titular o sistema informa já existir ordenador e titular para o período informado .           após conversa foi possível identificar que o usuário estava sobrepondo o perído no qual um gestor anterior com o atual. Foi informado ao mesmo que o período não pode se sobrepor., 16/11- Marcos – pm santa cruz – ao tentar cadastrar o novo ordenador de despesa e titular o sistema informa já existir ordenador e titular para o período informado ., após conversa foi possível identificar que o usuário estava sobrepondo o período no qual um gestor anterior com o atual . Foi informado ao mesmo que o período não pode se sobrepor .
"05/11 - Bom dia,Conforme verificado no sistema TCE/RN a Unidade Gestora 18.101 - Secretaria de Segurança Pública, Defesa Civil, Mobilidade Urbana e Trânsito pertencente a Unidade Jurisdicional da Prefeitura Municipal de Mossoró segue com o número da da Unidade Orçamentaria - UO cadastrada de forma errada (18.102), sendo assim, solicitamos que seja alterado para UO 18.101, o nome da secretaria esta correto.        essa informação exibida no Siai Obras é coletada de informações fornecidas por vocês no Anexo 42, desta forma é necessário que a informação correta seja modificada por alguém que tenha acesso a esse anexo."," 05/11 - Bom dia , Conforme verificado no sistema TCE/RN a Unidade Gestora 18.101 - Secretaria de Segurança Pública , Defesa Civil , Mobilidade Urbana e Trânsito pertencente a Unidade Jurisdicional da Prefeitura Municipal de Mossoró segue com o número da da Unidade Orçamentaria - o cadastrada de forma errada ( 18.102 ) , sendo assim , solicitamos que seja alterado para o 18.101 , o nome da secretaria esta correto ."," essa informação exibida no sai Obras é coletada de informações fornecidas por vocês no Anexo 42 , desta forma é necessário que a informação correta seja modificada por alguém que tenha acesso a esse anexo ."
"Hosp dr Jose Pedro bezerra – mudou o gestor, centrando um novo ordenador de despesa, e não está aparecendo nome do novo gestor no anexo 38. Usuária informou ter alterado .            usuária realizou a alteração no lugar errado . foi informado a mesma q é necessário realizar a alteração no anexo 42."," hop dr Jose Pedro bezerra – mudou o gestor , centrando um novo ordenador de despesa , e não está aparecendo nome do novo gestor no anexo 38 . Usuária informou ter alterado .", usuária realizou a alteração no lugar errado . foi informado a mesma q é necessário realizar a alteração no anexo 42 .
"MARIA DE FÁTIMA ARRUDA - SECRETARIA DE ESTADO DA SAÚDE PUBLICA - gostaria de ter acesso ao Anexo 38

Informado que esse acesso é realizado através do usuário gerenciador do órgão. ", MARIA DE FÁTIMA ARRUDA - SECRETARIA DE ESTADO DA SAÚDE PUBLICA - gostaria de ter acesso ao Anexo 38, Informado que esse acesso é realizado através do usuário gerenciador do órgão .
"Conforme contato telefônico realizado na data de hoje, solicito os bons préstimos dessa Central em encaminhar listagem atualizada dos Prefeitos dos municípios do Rio Grande do Norte. Se possível, gostaria das informações de contatos desses como: endereço, telefone e e-mail institucional.


R: Atendendo a solicitação segue planilha com listagem de prefeitos baseada nos dados encaminhados pelo município a esta Corte de Contas através do Anexo 42. 

Identificamos que alguns órgãos, até o momento, não atualizaram os dados após a gestão do exercício 2020."," Conforme contato telefônico realizado na data de hoje , solicito os bons préstimos dessa Central em encaminhar listagem atualizada dos Prefeitos dos municípios do Rio Grande do Norte . Se possível , gostaria das informações de contatos desses como : endereço , telefone e e-mail institucional ."," Atendendo a solicitação segue planilha com listagem de prefeitos baseada nos dados encaminhados pelo município a esta Corte de Contas através do Anexo 42 . Identificamos que alguns órgãos , até o momento , não atualizaram os dados após a gestão do exercício 2020 ."
07/08 DER- pascoal – usuário informou que houve a substituição ordenador de despesas e pergunta como proceder.         Foi informado ao mesmo que ele deverá substituí-lo no anexo 42., 07/08 DER- pascoal – usuário informou que houve a substituição ordenador de despesas e pergunta como proceder ., Foi informado ao mesmo que ele deverá substituí-lo no anexo 42 .
"Gostaria de orientação para realizar o cadastro do ordenador de despesas do FUNDO DE SEGURIDADE SOCIAL DE MACAU.          O cadastro do Ordenador de Despesas é realizado dentro do Anexo 42, onde é possível encontrar o Cadastro da Unidade Jurisdicionada, e dentro desta, existe a parte de Cadastro de Gestor Responsável. Caso tenha alguém cadastrado, é necessário incluir a Data de Fim de Gestão e incluir o novo Ordenador. A mesma Operação poderá ser feita para o Titular da Unidade Jurisdicionada.  Ambas funções poderão ser designadas pela mesma pessoa e admitem uma Pessoa como substituta para cada função", Gostaria de orientação para realizar o cadastro do ordenador de despesas do FUNDO DE SEGURIDADE SOCIAL DE MACAU .," O cadastro do Ordenador de Despesas é realizado dentro do Anexo 42 , onde é possível encontrar o Cadastro da Unidade Jurisdicionada , e dentro desta , existe a parte de Cadastro de Gestor Responsável . Caso tenha alguém cadastrado , é necessário incluir a Data de Fim de Gestão e incluir o novo Ordenador . A mesma Operação poderá ser feita para o Titular da Unidade Jurisdicionada . Ambas funções poderão ser designadas pela mesma pessoa e admitem uma Pessoa como substituta para cada função"
"No portal do gestor ainda consta o nome do Sr. Pedro Lopes de Araújo Neto como gestor responsável, mas conforme documento em anexo, o responsável desde 01/04/2022 é o Sr. Carlos José Cerveira de Andrade e Silva. Favor atualizar essa informação no Portal do Gestor.           Prezado, Essas informações são alimentadas por vocês mesmos, basta ter acesso ao Anexo 42 e efetuar os passos a seguir Acessar o menu SIAI FISCAL - DDI>>  Anexo 42 Consultar as Unidades Jurisdicionadas cadastradas Após Localizar a Unidade Jurisdicionada a ser editada, clica-se no icone do LAPIS Na parte de Gestor Responsável, onde tiver as informações do gestor anterior, clica-se no icone do LAPIS novamente abrirá uma nova tela, onde deverá ser inserido a data de Fim de Gestão e insere o Ato de Afastamento e clica em SALVAR clica-se no simbolo + ao lado do nome de Gestor Responsável Na nova tela deverá ser inseridas todas informações, com excessão da data de Fim de Gestão e Ato de Afastamento e clica-se em SALVAR Clica em salvar no final da tela."," No portal do gestor ainda consta o nome do Sr. Pedro Lopes de Araújo Neto como gestor responsável , mas conforme documento em anexo , o responsável desde 01/04/2022 é o Sr. Carlos José Cerveira de Andrade e Silva . Favor atualizar essa informação no Portal do Gestor ."," Prezado , Essas informações são alimentadas por vocês mesmos , basta ter acesso ao Anexo 42 e efetuar os passos a seguir Acessar o menu sai FISCAL - DDI > > Anexo 42 Consultar as Unidades Jurisdicionadas cadastradas Após Localizar a Unidade Jurisdicionada a ser editada , clica-se no cone do lápis Na parte de Gestor Responsável , onde tiver as informações do gestor anterior , clica-se no cone do lápis novamente abrirá uma nova tela , onde deverá ser inserido a data de Fim de Gestão e insere o Ato de Afastamento e clica em SALVAR clica-se no simbolo + ao lado do nome de Gestor Responsável Na nova tela deverá ser inseridas todas informações , com excessão da data de Fim de Gestão e Ato de Afastamento e clica-se em SALVAR Clica em salvar no final da tela ."
usuária gostaria de saber como atualizar o gestor responsável no anexo 42.           foi passado o passo a passo pra ela., usuária gostaria de saber como atualizar o gestor responsável no anexo 42 ., foi passado o passo a passo pra ela .
"Raisa- solicitação de nada consta , quanto tempo ?         demora em torno de 24 horas."," raiva solicitação de nada consta , quanto tempo ?", demora em torno de 24 horas .
 pm mossoro -carla - siai obras - pendencia no municipio - migração do 23 para o siai obras - certidão negativa da receita federal - usuária gostaria de saber se a certidão de adimplencia serve para a Receita federa. -                  pedimos para a mesma entrar em contato com a Receita e mostrar a certidão para ver se atende a eles.   , pm monstro carla - sai obras - pendencia no municipio - migração do 23 para o sai obras - certidão negativa da receita federal - usuária gostaria de saber se a certidão de adimplencia serve para a Receita federa . -, pedimos para a mesma entrar em contato com a Receita e mostrar a certidão para ver se atende a eles .
"27/05 Paulo Andre - Solicita-se a expedição de certidão para fins de indicação de função comissionada, cujos dados seguem abaixo especificados:CPF: 899.543.194-68;Data de Nascimento: 13.02.1974;Nome Completo: Paulo André Silva Albuquerque;Documento com Foto: arquivos anexos (2).                      Prezado, a solicitação de Certidão de Nada Consta deverá ser pedida diretamente no site do TCE/RN através do link abaixo. http://www.tce.rn.gov.br/Certidao/CertidaoNadaConsta"," 27/05 Paulo Andre - Solicita-se a expedição de certidão para fins de indicação de função comissionada , cujos dados seguem abaixo especificados : CPF : 899.543.194-68 ; Data de Nascimento : 13.02.1974 ; Nome Completo : Paulo André Silva Albuquerque ; Documento com Foto : arquivos anexos ( 2 ) ."," Prezado , a solicitação de Certidão de Nada Consta deverá ser pedida diretamente no site do TCE/RN através do link abaixo . http : //www.tce.rn.gov.br/Certidao/CertidaoNadaConsta"
PM carnaubais - Auferes – pendências iegm -  usuário informou que não recebeu resposta da DAM sobre a resolução da demanda e pergunta o q fazer.          Foi informado ao mesmo que a demanda foi encaminhada para a DAM e q ele deveria entrar em contato através do telefone 3642-7339., PM carnaubais - alferes – pendências em - usuário informou que não recebeu resposta da DAM sobre a resolução da demanda e pergunta o q fazer ., Foi informado ao mesmo que a demanda foi encaminhada para a DAM e q ele deveria entrar em contato através do telefone 3642-7339 .
"SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SÃO GONÇALO DO AMARANTE
Unidade Central de Controle Interno não criada por Lei ou não implementada plenamente.


Informamos que o Anexo 40 a Lei foi criada, porém está parcialmente implementada e a pendência só é excluida quando a mesma está totalmente implementada. ", SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO DE SÃO GONÇALO DO AMARANTE Unidade Central de Controle Interno não criada por Lei ou não implementada plenamente .," Informamos que o Anexo 40 a Lei foi criada , porém está parcialmente implementada e a pendência só é excluída quando a mesma está totalmente implementada ."
solicitação certidão negativa quanto tempo? - vinicius -  normalmente um dia útil , solicitação certidão negativa quanto tempo, - vinicius - normalmente um dia útil
"Bom dia,Sou Hennryque Lyma de Morays e solicitei a certidão de nada consta na última sexta (ou sábado) pois preciso para assumir um cargo até quarta-feira. Por isso, venho por meio deste pedir encarecidamente que enviem-me com uma certa urgência a certidão. Desde já agradeço pela atenção.              Prezado, caso a solicitação tenha sido feita a partir das 18h da sexta feira, a mesma deverá ser concluída hoje no final do dia. Favor aguardar link no email registrado quando feito a solicitação.Caso não tenha recebido o link para impressão da certidão, favor entrar em contato com o número 3642- 7297"," Bom dia , Sou Hennryque lama de moras e solicitei a certidão de nada consta na última sexta ( ou sábado ) pois preciso para assumir um cargo até quarta-feira . Por isso , venho por meio deste pedir encarecidamente que enviem-me com uma certa urgência a certidão . Desde já agradeço pela atenção ."," Prezado , caso a solicitação tenha sido feita a partir das 18h da sexta feira , a mesma deverá ser concluída hoje no final do dia . Favor aguardar link no email registrado quando feito a solicitação.Caso não tenha recebido o link para impressão da certidão , favor entrar em contato com o número 3642- 7297"
